,q1,q2,q3,q4,q5,q6,gender,region
538,1,0,3,1,4,4,2,1
539,3,1,2,2,5,5,1,4
540,1,0,3,1,3,2,1,7
541,2,0,1,1,4,3,1,9
542,1,0,3,1,5,2,2,3
543,3,0,3,1,4,3,1,7
544,2,0,3,1,4,3,1,1
545,2,0,1,1,4,3,1,3
546,3,1,1,1,2,2,2,9
547,3,1,3,1,4,4,2,6
548,1,0,3,1,3,4,1,1
549,2,0,3,1,5,5,2,7
550,2,1,3,2,1,1,1,4
551,3,1,2,1,1,4,2,6
552,1,0,1,1,4,2,1,8
553,2,0,3,2,4,2,1,6
554,2,0,3,1,2,3,1,5
555,2,0,3,1,5,1,2,4
556,1,0,1,1,3,2,1,7
557,1,0,3,1,4,2,1,9
558,1,0,3,1,5,2,2,3
559,2,0,3,1,4,3,1,1
560,0,0,3,1,2,2,2,1
561,2,0,1,2,4,2,2,9
562,2,1,3,1,5,3,1,3
563,3,1,3,2,1,1,1,6
564,4,1,2,2,5,2,1,4
565,2,1,1,1,4,4,1,1
566,1,0,2,2,1,2,2,6
567,3,1,3,1,1,1,1,9
568,1,0,3,1,4,4,2,5
569,2,0,1,2,2,2,2,1
570,2,0,3,1,4,4,2,7
571,2,1,1,1,4,5,1,4
572,1,0,3,1,4,4,2,3
573,3,1,1,2,3,4,1,7
574,1,0,1,1,2,4,2,3
575,2,0,3,1,4,5,2,7
576,2,0,2,2,1,1,1,4
577,3,1,1,1,5,4,1,9
578,1,0,1,1,3,3,1,1
579,1,0,1,1,5,5,1,7
580,3,0,3,2,4,2,1,6
581,2,1,3,2,1,1,2,1
582,3,1,3,2,4,5,2,6
583,4,0,2,1,1,3,1,0
584,3,0,1,1,4,4,1,5
585,1,0,1,1,3,2,1,3
586,2,0,2,1,5,5,1,3
587,1,0,3,1,4,3,1,1
588,0,1,3,1,1,3,2,5
589,3,1,2,2,4,2,1,6
590,2,1,1,1,3,3,1,1
591,1,0,1,1,5,5,2,2
592,1,0,1,1,3,3,1,7
593,1,0,1,1,2,2,1,2
594,3,1,2,2,5,5,2,9
595,1,0,3,1,3,4,1,7
596,1,0,1,1,5,2,2,1
597,1,0,1,1,4,2,1,7
598,4,0,3,1,3,2,2,7
599,1,0,2,1,5,2,1,7
600,1,0,1,1,4,2,1,8
601,1,0,1,1,4,5,2,7
602,0,1,2,2,1,5,1,4
603,1,0,2,2,1,5,2,9
604,3,1,2,2,3,2,1,6
605,3,1,1,1,3,3,1,5
606,3,0,0,0,0,0,0,0
607,1,0,1,1,2,2,1,9
608,2,0,1,1,4,2,1,1
609,1,0,3,1,2,2,1,7
610,1,0,3,1,4,2,1,1
611,2,1,1,2,2,4,1,6
612,3,1,2,1,5,2,2,6
613,1,0,3,1,4,3,1,6
614,2,0,1,1,3,4,1,8
615,1,0,1,1,4,4,1,1
616,2,1,3,2,5,3,1,6
617,2,1,1,1,4,3,1,9
618,3,0,1,1,5,2,1,8
619,1,0,3,1,5,5,2,7
620,1,0,3,1,5,3,2,7
621,1,1,3,2,1,4,1,6
622,1,0,2,2,1,4,2,6
623,1,1,1,1,4,4,2,3
624,2,0,1,1,5,5,2,9
625,2,0,1,1,1,1,1,3
626,1,0,3,1,2,4,1,1
627,4,1,2,1,1,5,2,6
628,3,0,3,1,4,5,1,4
629,2,0,1,1,4,4,1,9
630,3,1,2,2,5,2,1,6
631,2,1,3,2,2,2,1,3
632,4,1,2,2,5,4,1,6
633,3,1,3,1,4,3,1,9
634,1,1,1,1,4,4,2,3
635,2,1,3,1,4,4,1,7
636,3,1,2,2,4,4,1,6
637,1,0,3,1,4,3,1,9
638,2,0,1,1,4,3,1,8
639,0,0,1,1,3,3,2,6
640,2,1,2,1,1,2,1,6
641,2,0,1,1,4,4,1,1
642,2,0,3,1,4,4,1,7
643,2,0,3,1,2,4,2,7
644,0,1,3,1,3,4,1,3
645,2,0,3,1,5,5,1,3
646,4,1,3,2,1,4,1,6
647,1,1,1,1,4,4,1,8
648,1,0,3,1,5,5,2,4
649,1,0,1,1,3,3,1,7
650,2,1,2,2,5,3,2,6
651,3,1,3,2,1,1,1,6
652,2,1,1,1,4,2,2,1
653,3,1,3,1,5,5,2,1
654,3,1,1,1,3,3,1,6
655,2,0,3,1,3,2,1,1
656,3,0,3,1,4,2,1,8
657,3,1,2,2,1,2,2,6
658,4,1,1,1,2,2,1,3
659,3,0,1,1,0,0,0,0
660,0,1,3,1,1,3,2,5
661,2,0,1,1,4,4,2,3
662,2,1,1,1,4,4,2,7
663,2,1,3,1,5,5,2,9
664,3,1,3,1,4,4,1,7
665,2,0,3,1,4,1,1,3
666,1,0,1,1,3,2,1,3
667,2,0,3,1,4,3,2,7
668,2,0,1,1,4,2,2,7
669,1,1,3,1,4,2,2,7
670,2,0,3,1,4,3,1,9
671,1,0,3,1,4,3,1,3
672,1,0,1,1,5,5,1,7
673,3,0,3,1,4,4,1,7
674,3,1,2,2,1,5,2,9
675,2,1,1,1,4,2,2,2
676,3,1,2,2,1,1,1,6
677,2,0,3,1,5,5,2,3
678,1,1,3,1,4,2,1,1
679,1,0,1,1,1,2,2,9
680,4,1,2,1,3,3,1,3
681,1,1,1,1,4,2,1,9
682,1,1,1,1,4,5,2,8
683,2,0,2,1,2,3,1,7
684,2,0,1,1,4,2,1,3
685,2,0,1,1,3,2,2,3
686,2,1,3,1,4,4,1,3
687,3,0,2,2,5,2,1,6
688,1,0,3,1,4,3,2,1
689,3,0,3,1,4,5,2,6
690,4,0,3,2,1,5,1,7
691,3,1,1,1,3,3,1,3
692,3,0,1,1,4,4,1,3
693,4,1,3,2,4,5,1,3
694,1,0,1,1,4,3,1,7
695,2,0,1,1,4,2,1,9
696,2,0,3,1,2,2,1,2
697,3,0,2,1,1,2,2,6
698,2,0,2,1,1,1,2,8
699,3,0,3,1,4,4,1,1
700,3,1,3,1,5,3,1,6
701,2,0,3,2,3,5,1,4
702,1,1,1,1,4,3,2,9
703,4,0,3,1,2,2,2,5
704,1,0,1,1,4,3,1,9
705,1,0,3,1,1,1,2,9
706,2,0,1,1,4,4,1,7
707,1,0,3,1,3,3,1,3
708,2,1,3,1,4,2,1,7
709,2,1,1,1,4,5,2,7
710,2,0,3,1,1,4,1,9
711,1,1,3,1,5,3,1,3
712,3,1,3,1,4,2,1,6
713,2,0,1,1,3,2,1,5
714,2,1,3,2,1,2,1,3
715,2,0,2,1,5,5,2,6
716,2,1,2,2,4,2,1,9
717,0,0,3,1,1,2,2,6
718,2,0,1,1,2,2,1,8
719,1,0,3,1,1,1,2,6
720,1,0,3,1,5,5,2,8
721,2,1,3,1,1,2,1,7
722,3,1,2,2,5,3,2,6
723,0,0,3,1,4,4,1,7
724,4,1,2,1,5,3,1,9
725,4,0,1,1,5,5,2,8
726,1,0,3,1,3,2,1,7
727,2,1,2,2,4,2,1,7
728,3,1,3,1,5,2,1,6
729,2,1,3,1,5,4,1,3
